,Time (Hour-Ending),Date,ERCOT.LOAD,ERCOT.PVGR.GEN,"Total Solar Installed, MW","Solar Output, % of Load","Solar Output, % of Installed",Solar 1-hr MW change,Solar 1-hr % change,Daytime Hour,Ramping Daytime Hour
8511,2022-12-21 16:00:00,2022-12-21,46461.97445095486,6273.759562717014,13949,13.502998176152797,44.97641094499257,127.1,2.0677985476266847,True,True
8512,2022-12-21 17:00:00,2022-12-21,46891.68225694444,4128.435155436198,13949,8.804195022934575,29.59663886612803,-2145.3,-34.1948074125895,True,True
8513,2022-12-21 18:00:00,2022-12-21,48913.061920572916,590.4561846696669,13949,1.207154411286855,4.23296426030301,-3538.0,-85.69833040350092,True,True
8514,2022-12-21 19:00:00,2022-12-21,51045.154259982635,0.3154145573907428,13949,0.0006179128302449176,0.0022611983467685343,-590.1,-99.9396763589044,False,True
8515,2022-12-21 20:00:00,2022-12-21,51296.133465711806,0.32874312964578467,13949,0.0006408731173969057,0.0023567505172111597,0.0,0.0,False,False
8516,2022-12-21 21:00:00,2022-12-21,51592.42991970486,0.4315249562263489,13949,0.0008364113822472533,0.0030935906246064154,0.1,30.418886657113823,False,False
8517,2022-12-21 22:00:00,2022-12-21,51061.579739583336,0.4605821792284648,13949,0.0009020131801198816,0.003301901062645815,0.0,0.0,False,False
8518,2022-12-21 23:00:00,2022-12-21,49760.62820095486,0.36582852459616133,13949,0.000735176660388587,0.002622614700667871,-0.1,-21.711652015610557,False,False
8519,2022-12-22 00:00:00,2022-12-21,48032.04474826389,0.3662544313735432,13949,0.0007625210071590412,0.002625668014721795,0.0,0.0,False,False
8520,2022-12-22 01:00:00,2022-12-22,46572.03436631944,0.35606876969337464,13949,0.0007645548976724129,0.0025526472843456494,0.0,0.0,False,False
8521,2022-12-22 02:00:00,2022-12-22,45660.39645399305,0.339679352177514,13949,0.0007439255428274071,0.0024351519978314863,0.0,0.0,False,False
8522,2022-12-22 03:00:00,2022-12-22,44901.754069010414,0.3274564620190197,13949,0.0007292732072687966,0.0023475264321386456,0.0,0.0,False,False
8523,2022-12-22 04:00:00,2022-12-22,44533.91407769097,0.3292331760128339,13949,0.0007392864131333149,0.002360263646231514,0.0,0.0,False,False
8524,2022-12-22 05:00:00,2022-12-22,45009.61721788195,0.32407510038879184,13949,0.0007200130114859974,0.0023232855429693297,0.0,0.0,False,False
8525,2022-12-22 06:00:00,2022-12-22,46528.83246310764,0.3353422763612535,13949,0.0007207193015796042,0.0024040596197666755,0.0,0.0,False,False
8526,2022-12-22 07:00:00,2022-12-22,48741.3227235243,0.3452971926662657,13949,0.0007084280306156176,0.0024754261428508546,0.0,0.0,False,False
8527,2022-12-22 08:00:00,2022-12-22,50468.14660590278,44.978211841947505,13949,0.08912198062903866,0.3224475721696717,44.6,12916.409674696222,True,True
8528,2022-12-22 09:00:00,2022-12-22,52057.6956640625,1470.0888687133788,13949,2.8239607035242624,10.539026946113548,1425.1,3168.4229800147937,True,True
8529,2022-12-22 10:00:00,2022-12-22,54035.90541666667,1980.9022470431858,13949,3.6658999821851825,14.201034103112667,510.8,34.746198741512266,True,True
8530,2022-12-22 11:00:00,2022-12-22,55439.72366753472,2345.121289808485,13949,4.2300378405056485,16.812110472496126,364.2,18.385561455323042,True,True
