Time (Hour-Ending),Date,ERCOT.LOAD,ERCOT.PVGR.GEN,"Total Solar Installed, MW","Solar Output, % of Load","Solar Output, % of Installed",Solar 1-hr MW change,Solar 1-hr % change,Daytime Hour,Ramping Daytime Hour
2023-04-01 07:00:00,2023-04-01,37150.26372178819,0.4839130969456811,15096,0.0013025832079406,0.0032055716543831,-0.2,-31.18496667299925,0.0,0.0
2023-04-01 08:00:00,2023-04-01,38306.93983072916,218.89613919030927,15096,0.5714268489145002,1.4500274191196958,218.4,45132.070485067954,1.0,1.0
2023-04-01 09:00:00,2023-04-01,40153.34989149305,4108.988871799045,15096,10.233240521408108,27.219057179378943,3890.1,1777.1441809752205,1.0,1.0
2023-04-01 10:00:00,2023-04-01,41707.05831163195,9421.21626844618,15096,22.58902125882764,62.40869282224549,5312.2,129.28241389162366,1.0,1.0
2023-04-01 11:00:00,2023-04-01,42970.17435763889,10644.60492404514,15096,24.77207757048076,70.51275121916494,1223.4,12.985584505659295,1.0,1.0
2023-04-01 12:00:00,2023-04-01,43800.55506727431,11352.440457899304,15096,25.91848537184705,75.20164585253912,707.8,6.649377830840371,1.0,1.0
2023-04-01 13:00:00,2023-04-01,44822.51409722222,11535.76008138021,15096,25.736530655907835,76.41600477861824,183.3,1.6146307983712471,1.0,1.0
2023-04-01 14:00:00,2023-04-01,45937.34503038194,11423.792659505209,15096,24.86820396770812,75.67430219598045,-112.0,-0.9708939784624891,1.0,1.0
2023-04-01 15:00:00,2023-04-01,46869.988046875,11086.853624131943,15096,23.654483574956124,73.4423266039477,-336.9,-2.949108146843694,1.0,1.0
2023-04-01 16:00:00,2023-04-01,47904.020670572914,10843.85625108507,15096,22.63663070299728,71.83264607237064,-243.0,-2.19178504775313,1.0,1.0
2023-04-01 17:00:00,2023-04-01,48565.48945963541,10092.30826280382,15096,20.78082270990373,66.85418828036445,-751.5,-6.930191461407491,1.0,1.0
2023-04-01 18:00:00,2023-04-01,48493.00563585069,9029.606789822048,15096,18.620431279570955,59.81456538037923,-1062.7,-10.52980123404161,1.0,1.0
2023-04-01 19:00:00,2023-04-01,47604.46961588541,6454.351712510851,15096,13.55828930474432,42.75537700391396,-2575.3,-28.52062177173446,1.0,1.0
2023-04-01 20:00:00,2023-04-01,46374.565010850696,1589.3467471059164,15096,3.427194943465328,10.528264090526738,-4865.0,-75.37550193569221,1.0,1.0
2023-04-01 21:00:00,2023-04-01,45910.63836805556,7.7202913656665215,15096,0.0168159094277335,0.0511413047540177,-1581.6,-99.51258294516144,1.0,1.0
2023-04-01 22:00:00,2023-04-01,44569.80570095487,0.2074678268366389,15096,0.0004654896371518,0.0013743231772432,-7.5,-97.14659259304388,0.0,1.0
2023-04-01 23:00:00,2023-04-01,43015.40973958333,0.2139147332476245,15096,0.0004972979091508,0.0014170292345497,0.0,0.0,0.0,0.0
2023-04-02 00:00:00,2023-04-02,40825.04056423612,0.2101570108698474,15096,0.0005147747753959,0.0013921370619359,0.0,0.0,0.0,0.0
2023-04-02 01:00:00,2023-04-02,38763.29918836806,0.2056346450911627,15096,0.0005304879857926,0.0013621796839637,0.0,0.0,0.0,0.0
2023-04-02 02:00:00,2023-04-02,37410.701647135415,0.1995748983489142,15096,0.0005334700755718,0.001322038277351,0.0,0.0,0.0,0.0
2023-04-02 03:00:00,2023-04-02,36311.36755425347,0.203134134064118,15096,0.0005594229789352,0.0013456156204565,0.0,0.0,0.0,0.0
2023-04-02 04:00:00,2023-04-02,35709.85279079861,0.2071809748808543,15096,0.0005801787425296,0.0013724229920565,0.0,0.0,0.0,0.0
2023-04-02 05:00:00,2023-04-02,35477.143463541666,0.2074538055558999,15096,0.0005847534082587,0.0013742302964752,0.0,0.0,0.0,0.0
2023-04-02 06:00:00,2023-04-02,35923.89227430556,0.2117258366114563,15096,0.0005893733201145,0.001402529389318,0.0,0.0,0.0,0.0
2023-04-02 07:00:00,2023-04-02,36473.37572482639,0.2173460120956103,15096,0.0005959031972674,0.0014397589566481,0.0,0.0,0.0,0.0
2023-04-02 08:00:00,2023-04-02,37429.57534722222,85.11454136470954,15096,0.2273991638300171,0.5638218161414251,84.9,39062.13837622775,1.0,1.0
2023-04-02 09:00:00,2023-04-02,38995.06322157118,1437.2808061726887,15096,3.685801964228173,9.520938037709914,1352.2,1588.682707230863,1.0,1.0
2023-04-02 10:00:00,2023-04-02,40883.78609375,4286.892042371962,15096,10.4855554046334,28.39753605174856,2849.6,198.2632751903334,1.0,1.0
2023-04-02 11:00:00,2023-04-02,42400.16887586805,5147.373990342882,15096,12.139984643486873,34.097601949807114,860.5,20.072817124731703,1.0,1.0
2023-04-02 12:00:00,2023-04-02,43952.51014756945,6072.894779188368,15096,13.816946424217358,40.22850277681749,925.5,17.980041895855127,1.0,1.0
2023-04-02 13:00:00,2023-04-02,45710.8087000868,6978.897162543402,15096,15.267498784221138,46.230108389927146,906.0,14.918750166804063,1.0,1.0
2023-04-02 14:00:00,2023-04-02,47305.54366753472,7390.866678059896,15096,15.623679816478184,48.95910624046036,412.0,5.903511549235237,1.0,1.0
2023-04-02 15:00:00,2023-04-02,48465.07199435764,7412.269010416667,15096,15.294043123013646,49.10088109708974,21.4,0.2895465570164702,1.0,1.0
2023-04-02 16:00:00,2023-04-02,49522.418461371526,6526.618068033854,15096,13.179118207089878,43.23408895093968,-885.7,-11.94910760463903,1.0,1.0
2023-04-02 17:00:00,2023-04-02,50269.815705295136,6152.638795572917,15096,12.239230857026662,40.75674877830496,-374.0,-5.730379748001213,1.0,1.0
2023-04-02 18:00:00,2023-04-02,51119.06019314236,6247.308054470486,15096,12.221093327745812,41.38386363586702,94.7,1.5391769799348638,1.0,1.0
2023-04-02 19:00:00,2023-04-02,51015.06693359375,5550.245587565104,15096,10.87962031842446,36.7663327210195,-697.1,-11.158406051405851,1.0,1.0
2023-04-02 20:00:00,2023-04-02,50223.19004557292,1759.6293245103625,15096,3.5036191904848355,11.656262086051688,-3790.6,-68.29607699689085,1.0,1.0
2023-04-02 21:00:00,2023-04-02,50023.56522135417,6.793740509980255,15096,0.0135810801967392,0.0450035804847658,-1752.8,-99.61188845768622,1.0,1.0
2023-04-02 22:00:00,2023-04-02,48867.843474392364,0.2445347698032856,15096,0.0005004001658706,0.0016198646648336,-6.5,-95.67630660092568,0.0,1.0
2023-04-02 23:00:00,2023-04-02,46540.28570746528,0.2077226164274745,15096,0.0004463286231914,0.001376010972625,0.0,0.0,0.0,0.0
2023-04-03 00:00:00,2023-04-03,43513.548912760416,0.2251700081759029,15096,0.0005174710263861,0.0014915872295701,0.0,0.0,0.0,0.0
2023-04-03 01:00:00,2023-04-03,41067.618567708334,0.2188520784013801,15096,0.0005329066696199,0.0014497355484988,0.0,0.0,0.0,0.0
2023-04-03 02:00:00,2023-04-03,39571.8076171875,0.2160977415243784,15096,0.0005460901448194,0.0014314900736909,0.0,0.0,0.0,0.0
2023-04-03 03:00:00,2023-04-03,38631.59055555556,0.2213167940411302,15096,0.0005728907116129,0.0014660624936481,0.0,0.0,0.0,0.0
2023-04-03 04:00:00,2023-04-03,38320.83124348959,0.2090497805343734,15096,0.0005455251719517,0.0013848024677687,0.0,0.0,0.0,0.0
2023-04-03 05:00:00,2023-04-03,38790.6966124132,0.2179835086398654,15096,0.0005619479093605,0.0014439819067293,0.0,0.0,0.0,0.0
2023-04-03 06:00:00,2023-04-03,40572.07539279514,0.2252451190518008,15096,0.0005551727804681,0.0014920847843918,0.0,0.0,0.0,0.0
2023-04-03 07:00:00,2023-04-03,43444.023736979165,0.2468887397978041,15096,0.0005682916050606,0.0016354580007803,0.0,0.0,0.0,0.0
2023-04-03 08:00:00,2023-04-03,44937.07780381945,162.57150406420232,15096,0.3617758697482204,1.0769177534724583,162.3,65738.11350526549,1.0,1.0
2023-04-03 09:00:00,2023-04-03,45466.41815972222,3301.15152086046,15096,7.260636871071766,21.86772337612917,3138.6,1930.5966430380763,1.0,1.0
2023-04-03 10:00:00,2023-04-03,46726.1031640625,7355.873572048611,15096,15.742535914499468,48.72730241155678,4054.7,122.82683707117825,1.0,1.0
2023-04-03 11:00:00,2023-04-03,48487.944171006944,9598.725125868055,15096,19.796106619854488,63.58455965731357,2242.9,30.491279900768504,1.0,1.0
2023-04-03 12:00:00,2023-04-03,50627.12399088542,10590.225397135417,15096,20.91808612126972,70.15252647810955,991.5,10.329496750854547,1.0,1.0
